avg_PR,avg_PR_val,max_PR,max_PR_val,median_PR,median_PR_val,min_PR,min_PR_val,avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
Mark S. Guyer,9.793896000000002,R. A. Fisher,810.1715844999999,Robert T. DeBoy,1.5095070000000002,Siegfried W. de Laat,0.15224400000000002,William T. Friedewald,4.879249990740743,Stephen F. Altschul,377.10028200000005,H. R. Horvitz,0.92546775,Siegfried W. de Laat,0.15202300000000002
Saul A. Teukolsky,9.395554907166149,David E. Goldberg,801.7872355000002,Stephen F. Altschul,1.49666775,Werner E. Mayer,0.15198050000000005,Randall K. Saiki,4.855073918918918,David S. Johnson,373.39374649999996,Ivica Letunic,0.918349,Werner E. Mayer,0.15176800000000004
William T. Friedewald,8.964273648148149,Ronald L. Rivest,750.9241450000002,Robert J. Dodson,1.48668875,Barrie Entsch,0.15179350000000005,W. James Kent,4.842709864864863,G. M. Sheldrick,371.88765699999993,Erika Schmid,0.9049275,Barrie Entsch,0.15164900000000006
Paul Meier,8.787056688775541,Folke Skoog,745.8011269999997,J. R. Asbridge,1.4733820000000004,Li Yuan Yu-Lee,0.15147900000000006,Arian Smit,4.724848913461539,David E. Goldberg,362.821795,Taylor A. Sohn,0.8970905,Li Yuan Yu-Lee,0.15136000000000002
Amos Tversky,8.767231539583348,Nicoletta Sacchi,731.224188,Ellen E. Walters,1.4666414999999997,Marvin H. Stromer,0.1506375,Harry Towbin,4.392562499999999,Folke Skoog,358.67329349999994,Stephen F. Altschul,0.8831419999999999,Marvin H. Stromer,0.15050150000000004
Sidney P. Colowick,8.708221635416665,Sidney P. Colowick,716.1259609999997,Erika Schmid,1.456161,Graham Tc,0.15052700000000002,Amos Tversky,4.368479839583326,Jinghui Zhang,341.19911250000007,Mark S. Guyer,0.8620874999999999,S. Qasim Mehdi,0.1505015
A. F. Huxley,8.368940366071426,Nathan O. Kaplan,716.1259609999997,Mark S. Guyer,1.4355485000000001,S. Qasim Mehdi,0.15051850000000006,Eugene W. Myers,4.359116426174497,Zheng Zhang,341.19911250000007,Nikola P. Pavletich,0.84785,Graham Tc,0.15049300000000002
Harry Towbin,8.09987160625,Edward A. Dennis,716.1259609999997,Hoda Khouri,1.4335680000000002,Oliver Zerbe,0.15000000000000002,Julie D. Thompson,4.298280621428567,Alejandro A. Schäffer,341.19911250000007,G. E. Palade,0.8435575000000001,Oliver Zerbe,0.15000000000000002
Koichiro Tamura,8.074872599999992,Donald B. Rubin,695.8230735000002,H. R. Horvitz,1.4314982499999998,Olivera Stojadinovic,0.15000000000000002,Masatoshi Nei,4.148148777777776,Lars Hedin,324.3165825000001,Corey S. Goodman,0.823472,Olivera Stojadinovic,0.15000000000000002
W. James Kent,8.072425574324322,Nan M. Laird,695.8230735000002,W. James Kent,1.42284525,Olivera J. Finn,0.15000000000000002,Carole A. Cull,4.1254693906250015,Harry Towbin,318.02294449999994,M S Brown,0.8229280000000002,Olivera J. Finn,0.15000000000000002
Lucinda Fulton,8.016209143835615,Marshal F. Folstein,691.3541475,M S Brown,1.362406,Oliver von Bohlen und Halbach,0.15000000000000002,Jeffrey Vieira,4.121233666666669,Gordon J,318.02294449999994,Jorja G. Henikoff,0.8162469999999998,Oliver von Bohlen und Halbach,0.15000000000000002
Arian Smit,7.993313538461537,Susan E. Folstein,691.3541475,M. H. F. Wilkins,1.360281,Oliver Zolk,0.15000000000000002,Alan Coulson,4.070809527272727,Theophil Staehelin,318.02294449999994,A. L. Hodgkin,0.81599625,Oliver Zolk,0.15000000000000002
Torsten N. Wiesel,7.961387611111107,D. R. Cox,683.0543479999998,Taylor A. Sohn,1.3360305,Oliver Zierau,0.15000000000000002,Paul Meier,4.002976752551014,Marjorie B. Lees,316.42774949999995,Claudia A. Seipp,0.8121414999999998,Oliver Zierau,0.15000000000000002
Jeffrey Vieira,7.913589999999999,Eugene W. Myers,671.087827,Jorja G. Henikoff,1.3328770000000003,Olivier Aumont,0.15000000000000002,Terrence S. Furey,3.921193851351352,D. R. Cox,299.647194,Richard R. Hudson,0.8074239999999999,Olivier Aumont,0.15000000000000002
Folke Skoog,7.7898373774834475,David J. Lipman,671.087827,James H. Jandl,1.31920475,Olivier Aznar,0.15000000000000002,William H. Stein,3.9075187684210513,Julie D. Thompson,298.8093659999999,Akira Nagafuchi,0.7941215,Olivier Aznar,0.15000000000000002
Marilyn Bergner,7.7794600156249984,Webb Miller,671.087827,Claudia A. Seipp,1.272765,Olivia Boyer,0.15000000000000002,Josep F. Abril,3.8575277962962966,Desmond G. Higgins,298.8093659999999,Parkhurst A. Shore,0.79189875,Olivia Boyer,0.15000000000000002
Eugene W. Myers,7.745312882550337,Stephen F. Altschul,671.087827,William H. Stein,1.2703764999999998,Olivier Balmes,0.15000000000000002,Toby J. Gibson,3.8143345088757368,Toby J. Gibson,298.8093659999999,Jeremy D. Selengut,0.7816774999999999,Olivier Balmes,0.15000000000000002
Thomas R. Dawber,7.642534185,Edwin M. Southern,648.880115,Harold Weintraub,1.262684,Oliver Zeitz,0.15000000000000002,Katherine M. Flegal,3.7723952512690335,Edwin M. Southern,286.95640500000013,Michael VonKorff,0.7802580000000001,Oliver Zeitz,0.15000000000000002
Desmond G. Higgins,7.564525714285714,Marjorie B. Lees,617.6899940000002,David S. Hogness,1.2623907500000002,Olivier Barbier,0.15000000000000002,C Redmond,3.767959732142857,Nan M. Laird,284.56389300000006,Lucinda Fulton,0.7763225,Olivier Barbier,0.15000000000000002
Alan Coulson,7.555357790909087,Isaac L. Chuang,609.7629280000001,F. Sanger,1.2490924999999995,Oliver Yu,0.15000000000000002,Stanford Moore,3.727466917391304,Donald B. Rubin,284.56389300000006,Tom Maniatis,0.7762800000000001,Oliver Yu,0.15000000000000002
A. L. Hodgkin,7.50562048076923,Theophil Staehelin,599.3625149999998,Ivica Letunic,1.2346,Oliver Yoa-Pu Hu,0.15000000000000002,Michael C. Wendl,3.6971255229885065,Masatoshi Nei,252.84715450000007,Albert J. Belanger,0.7756382500000001,Oliver Yoa-Pu Hu,0.15000000000000002
Leon Festinger,7.410507421874998,Gordon J,599.3625149999998,B. Frank Polk,1.2269330000000005,Oliver Y. Martin,0.15000000000000002,I. M. Stratton,3.674888375,Naruya Saitou,252.84715450000007,Kenneth J. Kemphues,0.76888075,Oliver Y. Martin,0.15000000000000002
Carole A. Cull,7.355377351562498,Harry Towbin,599.3625149999998,Robert C. Onofrio,1.2241705000000005,Olivia Befani,0.15000000000000002,A. F. Huxley,3.628079482142855,E. Wolf,247.24636,J. R. Asbridge,0.7679159999999998,Olivia Befani,0.15000000000000002
G. E. Palade,7.347475956140351,Jinghui Zhang,587.2350890000001,Patrick Brill-Edwards,1.2205750000000002,Olivia McAuliffe,0.15000000000000002,Michael C. Zody,3.5500588928571437,Max Born,247.24636,John W. Newport,0.766437,Olivia McAuliffe,0.15000000000000002
Masatoshi Nei,7.310998436728394,Alejandro A. Schäffer,587.2350890000001,Kenneth J. Kemphues,1.207468,Olivia M. Pereira-Smith,0.15000000000000002,Felsenfeld Al,3.5418682321428583,Stanley Lemeshow,242.84231450000001,Leland H. Hartwell,0.76149425,Olivia M. Pereira-Smith,0.15000000000000002
C Redmond,7.1300979999999985,Zheng Zhang,587.2350890000001,Don W. Fawcett,1.1983305000000002,Olivia Harris,0.15000000000000002,James I. Cleeman,3.5118876721311483,David W. Hosmer,242.84231450000001,Harold Weintraub,0.7434954999999998,Olivia Harris,0.15000000000000002
John G. Kirkwood,7.05704722093023,Harry Smith,571.8986664999998,Carroll M. Williams,1.18583125,Olivia M. Martinez,0.15000000000000002,Marjorie B. Lees,3.498777774038459,John H. Holland,239.0763385,Naoufal Zamzami,0.74247125,Olivia M. Martinez,0.15000000000000002
Rebecca DerSimonian,6.79543294,Marshall N. Rosenbluth,564.7682715000002,Leland H. Hartwell,1.1834002500000005,Olivia Kershaw,0.15000000000000002,Rebecca DerSimonian,3.4805682600000005,Charles Watson,233.781068,M. P. Austin,0.7257475,Olivia Kershaw,0.15000000000000002
Marjorie B. Lees,6.774530086538464,John H. Holland,537.4055475,Norman K. Wessells,1.1602249999999998,Olivia Keiser,0.15000000000000002,Kenneth J. Livak,3.472142449152537,George Paxinos,233.781068,Marianne Kearney,0.7238690000000001,Olivia Keiser,0.15000000000000002
Terrence S. Furey,6.727183067567568,Jeffrey H Miller,535.1492055,R. J. Winchester,1.1588140000000002,Olivia Pagani,0.15000000000000002,Jacques Ferlay,3.4546702559999987,J Martin Bland,225.29856100000003,John C. Cassel,0.7180805000000001,Olivia Pagani,0.15000000000000002
Eli Robins,6.7024211250000025,Miller Ja,535.1492055,Michael VonKorff,1.1581425000000003,Olivia Reinaud,0.15000000000000002,Folke Skoog,3.3896285298013225,Douglas G. Altman,225.29856100000003,Arthur Purdy Stout,0.7130909999999999,Olivia Reinaud,0.15000000000000002
Richard Helm,6.676928385542161,J. F. A. P. Miller,535.1492055,Nikola P. Pavletich,1.1509770000000001,Olivia I. Okereke,0.15000000000000002,Jane Peterson,3.377161673267325,F. Smith,222.30103599999998,Gary Struhl,0.712105,Olivia I. Okereke,0.15000000000000002
I. M. Stratton,6.603055173076924,Joseph O. Hirschfelder,517.772613,Sidney Udenfriend,1.146778,Olivia Hurtado,0.15000000000000002,Daniel Kahneman,3.3481718398791536,Gary G. Koch,213.87061699999998,Richard Tizard,0.7109065000000001,Olivia Hurtado,0.15000000000000002
Josep F. Abril,6.52228802777777,J. S. Bell,516.3479194999999,Lawrence Garfinkel,1.146268,Olivia Gosseries,0.15000000000000002,Saul A. Teukolsky,3.3393531107491805,Mary Osborn,207.8681125,Pascal Haffter,0.700426,Olivia Gosseries,0.15000000000000002
Julie D. Thompson,6.514283382142852,Stanley Lemeshow,493.9296625,Corey S. Goodman,1.1361359999999998,Olivia Carter-Pokras,0.15000000000000002,Steven E. Scherer,3.3167669545454546,Klaus Weber,207.8681125,M Klagsbrun,0.6959720000000001,Olivia Carter-Pokras,0.15000000000000002
R. A. Fisher,6.491161795138911,David W. Hosmer,493.9296625,Albert J. Belanger,1.1274787500000003,Oliver Y. Gutiérrez,0.15000000000000002,Kara Dolinski,3.2970504318181817,Andrew P. Feinberg,207.7609785,David J. Dooling,0.6931754999999999,Oliver Y. Gutiérrez,0.15000000000000002
Katherine M. Flegal,6.442795939086294,S. Chandrasekhar,488.6436909999998,Tom Maniatis,1.1256895000000002,Olivia Fromigué,0.15000000000000002,LaDeana W. Hillier,3.287995623893804,Bert Vogelstein,207.7609785,Jerome Vinograd,0.6909654999999999,Olivia Fromigué,0.15000000000000002
Daniel Kahneman,6.3866268821752366,Geoffrey E. Hinton,484.6708504999999,Richard Tizard,1.1242997500000005,Olivia Steele-Mortimer,0.15000000000000002,Webb Miller,3.2590072306547624,Nathan O. Kaplan,205.7042845,Lynn A. G. Ries,0.6892527500000001,Olivia Steele-Mortimer,0.15000000000000002
Joseph L. Fleiss,6.289152447916664,Mary Osborn,481.69880000000006,Daniel McGee,1.1232500000000003,Olivier Adotevi,0.15000000000000002,Sean R. Eddy,3.2578233020833327,Edward A. Dennis,205.7042845,Don W. Fawcett,0.6883644999999999,Olivier Adotevi,0.15000000000000002
Russell Higuchi,6.2202693333333245,Klaus Weber,481.69880000000006,Max H. Myers,1.1202240000000003,Olivia Fletcher,0.15000000000000002,Nicoletta Sacchi,3.2577673187919385,Sidney P. Colowick,205.7042845,Jérôme Giraudat,0.68791825,Olivia Fletcher,0.15000000000000002
B. G. Barrell,6.163210369158878,Julie D. Thompson,477.5991395,Akira Nagafuchi,1.11869825,Olivier Alard,0.15000000000000002,Susan E. Folstein,3.2448902171428564,Aaron T. Beck,204.983765,F. W. Alt,0.6871192500000001,Olivier Alard,0.15000000000000002
Michael C. Wendl,6.145783540229883,Desmond G. Higgins,477.5991395,Richard R. Hudson,1.1163225,Olivier Andreoletti,0.15000000000000002,Deanna M. Church,3.2431107012987024,James Kennedy,202.9720445,Kim Nasmyth,0.6839359999999999,Olivier Andreoletti,0.15000000000000002
E. Kellenberger,6.140783643939392,Toby J. Gibson,477.5991395,Jeffrey M. Piehler,1.115668,Olivia García-Suárez,0.15000000000000002,John E. Ware,3.1696208241279082,Marshall N. Rosenbluth,201.8539885,J. D. A. Van Embden,0.6836215,Olivia García-Suárez,0.15000000000000002
John H. Holland,6.1103009304635725,C. N. R. Rao,475.525284,William B. Kannel,1.1088765,A A Pitsillides,0.15000000000000002,Margaret D. Carroll,3.168385478260869,David G. Lowe,200.10961000000003,Patrick Brill-Edwards,0.6813774999999999,A A Pitsillides,0.15000000000000002
James I. Cleeman,6.094596786885242,Wang,471.761399,Stanford Moore,1.1083835,Oliver Wrong,0.15000000000000002,Marilyn Bergner,3.167795640625,Jacob Cohen,196.2929145,Joan Cornoni-Huntley,0.676575,Oliver Wrong,0.15000000000000002
N. E. Day,6.005238168032785,P. J. Flory,465.2436755,William P. Castelli,1.1062245000000002,Oliver Ullrich,0.15000000000000002,A. L. Hodgkin,3.15506973076923,Patricia Cohen,196.2929145,P De Camilli,0.6737275000000001,Oliver Ullrich,0.15000000000000002
John E. Ware,5.971838606104658,F. Smith,461.4562115,Earl W. Sutherland,1.1030242499999998,Oliver Tschauner,0.15000000000000002,Torsten N. Wiesel,3.1271032777777776,Linus Pauling,193.2518695,Joseph L. Goldstein,0.6696049999999999,Oliver Tschauner,0.15000000000000002
Parkhurst A. Shore,5.958040171874997,Myunghee C. Paik,454.56377399999985,V. G. Allfrey,1.0973929999999998,Oliver Trapp,0.15000000000000002,Marshal F. Folstein,3.10943619170984,Harry Smith,190.8550395,Joan Massagué,0.6688229999999998,Oliver Trapp,0.15000000000000002
Felsenfeld Al,5.876095883928566,Joseph L. Fleiss,454.56377399999985,Abraham Kagan,1.0958799999999995,Oliver Thomusch,0.15000000000000002,Tobias Doerks,3.0960307857142864,John M. Chirgwin,189.6461865,Hugh R.B. Pelham,0.667701,Oliver Thomusch,0.15000000000000002
Michael C. Zody,5.869607378571428,Bruce Levin,454.56377399999985,J. D. A. Van Embden,1.0946559999999999,Oliver Thomas,0.15000000000000002,Catherine A. Ball,3.084877131250001,Raymond J. MacDonald,189.6461865,Daniel McGee,0.6669275,Oliver Thomas,0.15000000000000002
Toby J. Gibson,5.785591789940826,Benoit B. Mandelbrot,454.17282500000016,Allan C. Wilson,1.090848,Oliver Thews,0.15000000000000002,David P. Bartel,3.083369165865384,William J. Rutter,189.6461865,Srinivasa M. Srinivasula,0.66376975,Oliver Thews,0.15000000000000002
LaDeana W. Hillier,5.776614942477872,Bert Vogelstein,432.1267150000001,P. F. Scholander,1.0890800000000005,Oliver T. Wolf,0.15000000000000002,Russell Higuchi,3.061445695402301,Tim R. Mosmann,187.29721999999998,David S. Hogness,0.66006375,Oliver T. Wolf,0.15000000000000002
David A. Hungerford,5.757985173076923,Andrew P. Feinberg,432.1267150000001,David R. Redwood,1.0806225,Oliver T. Keppler,0.15000000000000002,B. G. Barrell,3.0581431308411204,Charles R. Johnson,187.1728225,Michael L. Frigge,0.6584572500000001,Oliver T. Keppler,0.15000000000000002
P. Armitage,5.709226518656716,Ed Harlow,429.05074350000007,J.Ward Kennedy,1.0778855000000005,Oliver T. Fackler,0.15000000000000002,Renaud Capdeville,3.052902544642858,Myunghee C. Paik,185.847375,James H. Jandl,0.6582192499999998,Oliver T. Fackler,0.15000000000000002
Steven E. Scherer,5.68253888181818,David Lane,429.05074350000007,M. Lois Murphy,1.073865,Oliver T. Bruns,0.15000000000000002,Mark T. Ross,3.043689980769232,Bruce Levin,185.847375,Paulson Jc,0.6571779999999999,Oliver T. Bruns,0.15000000000000002
Nicoletta Sacchi,5.6661098557046925,J Martin Bland,425.55934299999996,Lynn A. G. Ries,1.0737757500000005,Oliver Stumper,0.15000000000000002,Aravind Subramanian,3.023182817460319,Joseph L. Fleiss,185.847375,William B. Kannel,0.6556735,Oliver Stumper,0.15000000000000002
Edwin M. Southern,5.636381770072994,Douglas G. Altman,425.55934299999996,Richard B. Shekelle,1.0713915,Oliver Strohm,0.15000000000000002,Todd M. Lowe,2.9962645820895526,Sumio Iijima,185.79952850000004,Allan C. Wilson,0.6544622499999999,Oliver Strohm,0.15000000000000002
Webb Miller,5.628769208333335,Charles R. Johnson,419.8162415,N. Raphael Shulman,1.067983,Oliver Stork,0.15000000000000002,Richard H. Creech,2.973903865079365,John P. Perdew,184.5760725,Laurie Davidson,0.653149,Oliver Stork,0.15000000000000002
Kara Dolinski,5.621880537878785,John Matthews,419.22800749999993,Jeremy D. Selengut,1.0658835000000002,Oliver Stoeltzing,0.15000000000000002,Granger G. Sutton,2.954710518867926,Kieron Burke,184.5760725,Jun Song Chen,0.652758,Oliver Stoeltzing,0.15000000000000002
Geoffrey E. Hinton,5.574407763586959,P. Armitage,419.22800749999993,Betty J. Flehinger,1.0650802499999998,Oliver Stiedl,0.15000000000000002,Michael B. Eisen,2.9429665025380682,Thomas D. Schmittgen,183.976406,R W Mahley,0.6490265000000002,Oliver Stiedl,0.15000000000000002
Nathan Mantel,5.570693867537313,Aaron T. Beck,418.2275404999999,Lucinda Fulton,1.0616335,Oliver Stich,0.15000000000000002,Kevin McKernan,2.9366916800000014,Kenneth J. Livak,183.976406,Norman K. Wessells,0.6425239999999999,Oliver Stich,0.15000000000000002
Nan M. Laird,5.563993463806975,James Kennedy,418.1180095,John W. Newport,1.0531760000000001,Oliver Steinbock,0.15000000000000002,Martin Gibson,2.9129073928571456,Ronald L. Rivest,176.60043750000003,James I. Cleeman,0.6413340000000001,Oliver Steinbock,0.15000000000000002
Jane Peterson,5.561131811881185,Tetsuo Maita,414.53733349999993,James G. Hirsch,1.0509405,Oliver Steigelmann,0.15000000000000002,Ellen E. Walters,2.8859887741935486,Robert Tibshirani,173.50951450000005,M. A. Fiatarone,0.6407134999999998,Oliver Steigelmann,0.15000000000000002
Susan E. Folstein,5.552500622857144,Gerhard Braunitzer,414.53733349999993,A E Weyman,1.04761275,Oliver Stegle,0.15000000000000002,Martin Ringwald,2.880284093333335,Weitao Yang,172.86584349999995,Carol Churcher,0.6384610000000001,Oliver Stegle,0.15000000000000002
Deanna M. Church,5.552075318181815,Genji Matsuda,414.53733349999993,D. R. Curtis,1.0459977500000002,Oliver Speck,0.15000000000000002,Edward J. Roccella,2.8707558584905666,Robert G. Parr,172.86584349999995,Marek Kubin,0.6377342499999998,Oliver Speck,0.15000000000000002
Marshal F. Folstein,5.550981080310888,Naruya Saitou,410.3333695,M Klagsbrun,1.0452795,Oliver Tüscher,0.15000000000000002,Richard Helm,2.865680566265062,Miller Ja,170.18760400000005,Gerald M. Rubin,0.636727,Oliver Tüscher,0.15000000000000002
David S. Johnson,5.546929501432679,Masatoshi Nei,410.3333695,David H. Culver,1.044285,Oliver Valerius,0.15000000000000002,Jeffrey C. Lee,2.854716413793104,Jeffrey H Miller,170.18760400000005,Richard D. Klausner,0.634721,Oliver Valerius,0.15000000000000002
Renaud Capdeville,5.539595758928572,William Haenszel,409.59177850000003,John G. Kirkwood,1.03931675,Oliver Witzke,0.15000000000000002,Tim R. Mosmann,2.8516278910614496,J. F. A. P. Miller,170.18760400000005,William P. Castelli,0.6328169999999999,Oliver Witzke,0.15000000000000002
Tavia Gordon,5.5351419714285734,Nathan Mantel,409.59177850000003,Paulson Jc,1.0351815000000002,Oliver Vonend,0.15000000000000002,Leon Festinger,2.84204296875,Benoit B. Mandelbrot,169.30185299999997,D. C. Van Essen,0.6327830000000001,Oliver Vonend,0.15000000000000002
Sean R. Eddy,5.5303746249999985,Richard M. Karp,408.67887850000005,Dennis Slone,1.029002,Oliver Wirths,0.15000000000000002,John P. Huelsenbeck,2.83458305,Amos Tversky,168.20654300000004,E. P. Greenberg,0.6324005,Oliver Wirths,0.15000000000000002
Catherine A. Ball,5.498627443749998,Robert D. Braun,400.4299005,M. P. Austin,1.0264094999999998,Oliver Wildner,0.15000000000000002,Timothy Fennell,2.8335053301886792,Daniel Kahneman,168.20654300000004,Jonathan A. Raper,0.6298845000000001,Oliver Wildner,0.15000000000000002
R W Davis,5.4946813908045975,Jacob Cohen,400.056555,Solomon A. Berson,1.0186320000000002,Olivier Barthelemy,0.15000000000000002,Stephen T. Sherry,2.8306249400000003,Geoffrey E. Hinton,165.77650350000005,P Leder,0.6298590000000001,Olivier Barthelemy,0.15000000000000002
Sidney J. Cutler,5.48114475,Gary G. Koch,399.5654675000001,David J. Dooling,1.0181305,Oliver Wieben,0.15000000000000002,Thomas R. Dawber,2.8304308850000006,Donald Geman,162.70748500000005,Peter J. Savage,0.6298505000000001,Oliver Wieben,0.15000000000000002
Richard H. Creech,5.47956287301587,L. H. Bennett,399.4594725,F. W. Alt,1.016677,Oliver Wessely,0.15000000000000002,Wayne J. Higgins,2.8239684200000017,Cathy D. Sherbourne,157.301485,Ulrich K. Laemmli,0.6283460000000001,Oliver Wessely,0.15000000000000002
Qui-Lim Choo,5.4740316348314595,Donald Geman,390.88729049999984,Philip J. Held,1.0130135,Oliver Werzer,0.15000000000000002,Parnesh Raniga,2.8097024166666693,John E. Ware,157.301485,George K. Aghajanian,0.6259702499999998,Oliver Werzer,0.15000000000000002
J. Gillis,5.464086372294369,Raymond J. MacDonald,383.3882845,Robert A. Rosati,1.00922675,Oliver Werz,0.15000000000000002,Jane G. Schaller,2.795024700000001,Isaac L. Chuang,157.29601100000005,Uwe Schönbeck,0.6227274999999999,Oliver Werz,0.15000000000000002
Margaret D. Carroll,5.453607817391303,John M. Chirgwin,383.3882845,Colin Feyerabend,1.0089164999999998,Oliver Welz,0.15000000000000002,Carl-Magnus Rudenstam,2.78975643,Robert I. Levy,153.99119400000004,R. J. Winchester,0.6213165,Oliver Welz,0.15000000000000002
Elizabeth Lacy,5.453605110169488,William J. Rutter,383.3882845,Marianne Kearney,1.0068595000000002,Oliver Weigert,0.15000000000000002,Nj Bell,2.7810756759259267,William T. Friedewald,153.99119400000004,S L Kunkel,0.6191150000000001,Oliver Weigert,0.15000000000000002
William Haenszel,5.410531540909092,Charles Watson,379.20084450000013,Paul J. Flory,0.996549,Oliver Weichenrieder,0.15000000000000002,R W Davis,2.7693982011494263,Donald S. Fredrickson,153.99119400000004,Earl W. Sutherland,0.616786,Oliver Weichenrieder,0.15000000000000002
Anthony R. Kerlavage,5.40223371212121,George Paxinos,379.20084450000013,Gary Struhl,0.9956225,Oliver Warschkow,0.15000000000000002,John H. Holland,2.7641035099337707,George Scatchard,153.51702999999995,Lily Y. Jan,0.6145292499999999,Oliver Warschkow,0.15000000000000002
David G. Lowe,5.344118407035173,George A. Miller,374.6402375,Henry G. Kunkel,0.9925879999999999,Oliver Waldmann,0.15000000000000002,David J. Dooling,2.760636836363637,William Haenszel,152.325704,B. G. Barrell,0.6136750000000001,Oliver Waldmann,0.15000000000000002
D. R. Cox,5.3158937761194105,Jacob N. Israelachvili,374.0272175,Joan Cornoni-Huntley,0.9882275,Oliver Waidmann,0.15000000000000002,David R. Bentley,2.755598350877193,Nathan Mantel,152.325704,Lawrence Garfinkel,0.6134412499999999,Oliver Waidmann,0.15000000000000002
F. Sanger,5.309912967532468,Sumio Iijima,371.6377995,Naoufal Zamzami,0.9867484999999998,Oliver Wagner,0.15000000000000002,Thomas D. Schmittgen,2.7506275679611623,Shelley E. Taylor,151.991399,David H. Culver,0.6104875,Oliver Wagner,0.15000000000000002
Kenneth J. Livak,5.266744855932197,John D. Ferry,367.27295600000014,Yvonne Stirling,0.98353125,Oliver W. Sakowitz,0.15000000000000002,Robert C. Onofrio,2.7500289076923083,Susan T. Fiske,151.991399,Abraham Kagan,0.6089659999999999,Oliver W. Sakowitz,0.15000000000000002
Michael L. Watson,5.260505381818182,Patricia Cohen,366.8461795,B. G. Barrell,0.9793959999999998,Oliver W. M. Rauhut,0.15000000000000002,Patrick O. Brown,2.74644960178117,D. Taylor,151.991399,Elizabeth D. Hay,0.6076060000000001,Oliver W. M. Rauhut,0.15000000000000002
Mark T. Ross,5.214497897435896,P. G. Smith,366.289812,L.L.M. van Deenen,0.9780785,Oliver W. Jones,0.15000000000000002,Ian Korf,2.7445098424657526,Daniel L. Schacter,151.991399,W. Michael O'Fallon,0.6050900000000001,Oliver W. Jones,0.15000000000000002
