title,primary_field,publisher,2000,2005,2010,2015,2020
(Pt/Co)/TbFeCo DOUBLE LAYERED FILM FOR SHORTER WAVELENGTH LASER RECORDING,Optics,The Magnetics Society of Japan,,,,-1.897119984885881,
(−)-Epigallocatechin-3-gallate is a new inhibitor of hepatitis C virus entry†‡,Biology,"Wiley Subscription Services, Inc., A Wiley Company",,,,,-1.647659125254298
1 f noise in metal films lacks spatial correlation,Spatial correlation,American Physical Society,-1.897119984885881,-1.897119984885881,,,
"1, 2-Cyclic-inositol-phosphate phosphodiesterase",Phosphodiesterase,Springer Berlin Heidelberg,,,,-1.897119984885881,
"1,2-Dibromo-3-chloropropane (DBCP) is positive for sex-linked recessive lethals, heritable translocations and chromosome loss in Drosophila ☆",Genetics,Mutat Res,-1.897119984885881,-1.897119984885881,,,
"1,25-dihydroxyvitamin D3 promotes IL-10 production in human B cells",Biology,WILEY‐VCH Verlag,,,,-1.2819343457956478,-1.2819343457956478
"1,4‐Dihydropyridine: Einfluß von Chiralität und Konformation auf die Calcium‐antagonistische und ‐agonistische Wirkung",Chemistry,WILEY‐VCH Verlag GmbH,,,,-1.897119984885881,
1-3 piezocomposite smart panels for active surface control,Materials Science,International Society for Optics and Photonics,,,,,-1.897119984885881
1. Der Schmerz — ein menschliches und ärztliches Problem,Medicine,Springer Berlin Heidelberg,-1.897119984885881,,,,
1.1 Local government ‐ the government's record assessed,Public Relations,Taylor & Francis Group,-1.897119984885881,-1.897119984885881,,,
1.2-V CMOS op-amp with a dynamically biased output stage,Electronic engineering,IEEE,,-0.9038682118755978,-0.9038682118755978,-0.9038682118755978,-0.9038682118755978
1.5 mu m band travelling-wave semiconductor optical amplifiers with window facet structure,Electronic engineering,IET,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
1.5 nm direct-tunneling gate oxide Si MOSFET's,Negative-bias temperature instability,IEEE,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
1.5 μm InGaAsP/InP buried rib waveguide lasers,Waveguide,American Institute of Physics,-1.897119984885881,-1.897119984885881,,,
100.000 pixel 120 dB imager in TFA-technology,Computer vision,IEEE,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
11 The Way Reading and Listening Work: A Tutorial Review of Discourse Processing and Aging,Psychology,Elsevier,,,-1.897119984885881,,
"125I-Insulin internalization by perfused rat liver: comparison of its subcellular distribution with that of a lysosomally targeted molecule, 125I-asialofetuin.",Biology,Horm Metab Res,,-1.897119984885881,,,
125I-labelled hCG binding characteristics in theca interna and other tissues from Romney ewes and from Booroola × Romney ewes with and without a major gene influencing their ovulation rate,Dissociation constant,Society for Reproduction and Fertility,,-1.897119984885881,-1.897119984885881,,
"13,14-Dihydro-15-keto-prostaglandin F2α in Patients with Urogenital Tumors",Endocrinology,Karger Publishers,-1.897119984885881,,,,
133Xe gas release during irradiation of uranium metal in the presence of air,Radiochemistry,"Akadémiai Kiadó, co-published with Springer Science+Business Media B.V., Formerly Kluwer Academic Publishers B.V.",-1.897119984885881,,,,
13C NMR chemical shift and electronic structure of an infinite polymer chain as studied by tight‐binding theory within the CNDO/2 framework: Polyethylene and cis and trans polyacetylenes,Stereochemistry,American Institute of Physics,,-1.897119984885881,,,
13C NMR of pyrazoles,Nuclear magnetic resonance spectroscopy,"John Wiley & Sons, Ltd.",-1.2819343457956478,-0.9038682118755978,-0.9038682118755978,-0.9038682118755978,
13C NMR spectra of 2-amino-4H-pyran derivatives,Nuclear magnetic resonance spectroscopy,"John Wiley & Sons, Ltd.",,-1.897119984885881,,,
"13C NMR spectra of benzothiazepinone, benzothiazinone and benzosulphonamide N-substituted derivatives",Stereochemistry,John Wiley & Sons Limited,-1.897119984885881,-1.897119984885881,,,
13C and 17O NMR of some substituted oxiranes. Chemical shifts and quantitative correlations,Nuclear magnetic resonance spectroscopy,"John Wiley & Sons, Ltd.",,-1.897119984885881,-1.897119984885881,,
14C dating of buried soils in the volcanic chaine des puys (France),Geomorphology,Istituto di geologia applicata,-1.897119984885881,-1.897119984885881,,,
14N NMR Study of Order Fluctuations in the Isotropic Phase of Liquid Crystals,Crystallography,Taylor & Francis Group,-1.897119984885881,,,,
"15-35 kV class, 600 Ampere separable connector systems: operability features and applications",Electronic engineering,IEEE,,,,-1.897119984885881,
150 Volt vertical channel GaAs FET,Materials Science,IEEE,-1.897119984885881,,,,
15N NMR Spectroscope of Pyrazolines-2 and Their Salts,Nuclear magnetic resonance spectroscopy,Taylor & Francis Group,,,-1.897119984885881,,
15N and 17O NMR chemical shift calculations using the MNDO/GIAO method,Stereochemistry,"John Wiley & Sons, Ltd.",,-1.897119984885881,-1.897119984885881,,
16-level gray-scale driver architecture and full-color driving for TFT-LCD,Electronic engineering,IEEE,,,,-1.897119984885881,
173: Vergleich prä- und intraoperativer Befunde bei Metastasen des Schilddrüsencarcinoms,Radiology,Springer Berlin Heidelberg,-1.897119984885881,-1.897119984885881,,,
18—A CONSIDERATION OF THE REAL MATURITY OF COTTON FIBRES,Materials Science,Taylor & Francis Group,-1.897119984885881,-1.897119984885881,,,
1979 SAFETY COMMITTE REPORT,Data mining,Society of Exploration Geophysicists,-1.897119984885881,-1.897119984885881,,,
1988 International conference on supercomputing,Data science,"North-Holland, Elsevier Science",,,-1.897119984885881,,
19F NMR of RNA. The Structural and Chemical Aspects of 5-Fluoro-cytidine and-uridine Labelling of Oligoribonucleotides #,Biology,Taylor & Francis Group,,,,,-1.897119984885881
1D Disordered System with Periodic Boundary Conditions : Density of States and Shape of Wavefunctions,Classical mechanics,Springer New York,-1.897119984885881,-1.897119984885881,,,
1H NMR studies of solvent and substituent effects on strong intramolecular hydrogen bonds,Photochemistry,John Wiley & Sons Limited,-1.897119984885881,-1.897119984885881,,,
1H NMR-based metabonomic analysis of urine from young spontaneously hypertensive rats,Analysis,Elsevier,,,-1.5429481711652673,-1.5429481711652673,-1.5429481711652673
1H and 13C NMR Study of New Organic Nitrate Esters. II—Benzoic Acid‐Substituted Derivatives,Biochemistry,"John Wiley & Sons, Ltd.",,,,,-1.897119984885881
"1H and 13C nmr studies of cyclic and linear dipeptides containing threonyl, seryl, aspartyl, and histidyl residues",Biochemistry,"Wiley Subscription Services, Inc., A Wiley Company",-1.897119984885881,,,,
1H and 13C nuclear magnetic resonance studies of the synthesis of linear segmented polyurethane elastomers,Materials Science,"John Wiley & Sons, Ltd",,,-1.897119984885881,,
1H‐nmr studies of the 20–31 fragment of calmodulin and of its cyclic analogue,Nuclear magnetic resonance spectroscopy,"Wiley Subscription Services, Inc., A Wiley Company",,,-1.897119984885881,,
1α-HYDROXY DERIVATIVES OF VITAMIN D3 AND RENAL FUNCTION,Medicine,Elsevier,-1.897119984885881,,,,
"2,2'-OXO-1,1'-azobenzene: Selective toxicity of rye (Secale cereale L.) allelochemicals to weed and crop species: II.",Biology,J Chem Ecol,,,,-1.897119984885881,
2-Alkylidenimidazolidine – Keten-Äquivalente in der inversen Diels-Alder-Reaktion,Hydrolysis,WILEY‐VCH Verlag,,,-1.897119984885881,,
2-Methoxyestradiol--biology and mechanism of action.,Pharmacology,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
"2-NAP, a peripheral CCK-A receptor antagonist, modulates the development of a preference for the mother by the newborn lamb",Psychology,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
2-Substituted 2-Propenoic Acid Esters via Reaction of a Masked Acrylate Ester with Carbonyl Compounds,Photochemistry,Taylor & Francis Group,,-1.897119984885881,-1.897119984885881,,
2.7 THz Balanced Waveguide HEB Mixer,Optoelectronics,IEEE,,,,,-1.2819343457956478
2012 European guideline for the management of pelvic inflammatory disease,PID controller,SAGE Publications,,,,,-1.2819343457956478
2012 Special Issue: On the neural substrates for exploratory dynamics in basal ganglia: A model,Exploration,Elsevier Science Ltd.,,,,,-1.647659125254298
235 U isotope enrichment in the metastable levels of U i,Excited state,Optical Society of America,-1.897119984885881,-1.897119984885881,,,
"24-Hour Patterns of Blood Sugar, Plasma Insulin and Free Fatty Acids in Patients with Primary Endogenous Hyperlipoproteinemia on Isocaloric Diets Containing 30, 43 and 79 cal% Carbohydrates",Endocrinology,Karger Publishers,-1.2819343457956478,,,,
24-h variation of vigilance in the cockroach Blaberus giganteus.,Psychology,Blackwell Publishing Ltd,,,,-1.897119984885881,
24-hour cerebrospinal fluid levels of vasopressin in hydrocephalic patients,Biology,Elsevier,,-1.897119984885881,,,
24-hour control of blood pressure by once daily doxazosin: a multicentre double-blind comparison with placebo,Pharmacology,Eur J Clin Pharmacol,,,-1.897119984885881,,
24-hour motor activity in genetically nervous and normal pointer dogs.,Psychology,Elsevier,,,-1.897119984885881,,
25 Years of a unique chromosome-breakage system. I: Principal features and comparison to other systems,Biology,Elsevier,,-1.897119984885881,-1.897119984885881,,
25 Years of the INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT — A Content Analysis,Social science,SAGE Publications,,,-1.897119984885881,,
25 years of the WHO essential medicines lists: progress and challenges.,Medicine,Elsevier,,,-0.6301723813985569,-0.4155154439616658,-0.4155154439616658
"29Si, 13C and 1H NMR spectra of some trimethylsiloxy- and bis(trimethylsiloxy) butene isomers",Stereoisomerism,"Institute of Organic Chemistry and Biochemistry AS CR, v.v.i.",-1.897119984885881,-1.897119984885881,,,
2D phosphorene as a water splitting photocatalyst: fundamentals to applications,Nanotechnology,The Royal Society of Chemistry,,,,,-0.6301723813985569
2D simulations of the double-detonation model for thermonuclear transients from low-mass carbon–oxygen white dwarfs,Carbon detonation,Blackwell Publishing Ltd,,,,-1.2819343457956478,-1.2819343457956478
"2N-(2-メルカプト-4-クロロフェニル)-6-クロロ-1,2,3-ベンゾチアジアゾリンによるパラジウム(II)の溶媒抽出/吸光光度定量",Square root of 2,公益社団法人 日本分析化学会,,,,-1.897119984885881,
"3,4-BENZOPYRENE IN CHARCOAL GRILLED MEATS",Food science,Blackwell Publishing Ltd,-1.897119984885881,,,,
3-13C-methionine-Labelled E. coli alakaline phosphatase,Chromatography,Biochem Biophys Res Commun,,,-1.897119984885881,,
3-D Shape Measurement Using Fiber Grating Vision Sensor Attached to Manipulator,Control engineering,The Institute of Electrical Engineers of Japan,,-1.897119984885881,-1.897119984885881,,
3-D liner wear profile measurement and analysis in industrial SAG mills,Engineering,Elsevier,,,,-1.5429481711652673,-1.5429481711652673
3-alkyl GABA and 3-alkylglutamic acid analogues: two new classes of anticonvulsant agents.,Pharmacology,Elsevier,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,
3-ps pulse generation by excimer-laser-pumped dye-laser system using gated absorbers,Picosecond,Springer,,,-1.897119984885881,,
3. The effect of fibrin deposition on the sensitivity of the continuous monitoring pH electrode and on the recorded pH value,Surgery,Arch Gynecol,-1.897119984885881,,,,
3.11 – Granitic Perspectives on the Generation and Secular Evolution of the Continental Crust,Geophysics,Elsevier,,,,-0.9038682118755978,-0.9038682118755978
3.9 The implications for local authorities of cable systems,Economics,Taylor & Francis Group,-1.897119984885881,-1.897119984885881,,,
30-V MMIC power amplifier with novel bias circuitry,Control engineering,IEEE,,,,-1.897119984885881,
331 - Studies on the structural and functional organization of water cleavage by visible light in photosynthesis ☆,Biochemistry,Elsevier,-1.897119984885881,,,,
35-nm InP HEMT SMMIC Amplifier With 4.4-dB Gain at 308 GHz,Electronic engineering,IEEE,,,,-1.2819343457956478,-1.2819343457956478
3D CT angiography of the celiac and superior mesenteric arteries with multidetector CT data sets : preliminary observations,Radiology,Abdom Imaging,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
"3D Reconstruction by Gluing Pair-Wise Euclidean Reconstructions, or ""How to Achieve a Good Reconstruction from Bad Images""",Computer vision,IEEE,,,,-1.5429481711652673,-1.5429481711652673
3D structure of bovine pancreatic ribonuclease A in aqueous solution: An approach to tertiary structure determination from a small basis of1H NMR NOE correlations,Aqueous solution,J Biomol NMR,,,,-1.897119984885881,
3H-3He dating: A case for mixing of young and old groundwaters,Radiochemistry,Pergamon,,,-1.2819343457956478,-1.2819343457956478,
3‐D magnetic field computations by infinite elements,Extended finite element method,American Institute of Physics,-1.897119984885881,-1.897119984885881,,,
"4,4′,6,6′-Tetra-Substituted Hydrazo- and Azo-1,3,5-Triazines",Stereochemistry,Taylor & Francis Group,,,,-1.2819343457956478,-1.2819343457956478
4-Hydroxynonenal induces apoptosis in human osteoarthritic chondrocytes: the protective role of glutathione-S-transferase,Programmed cell death,BioMed Central,,,,-1.2819343457956478,-1.2819343457956478
40 Ar- 39 Ar Darting of Deccan Basalts,Paleogene,Geological Society of India,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,,
42. Der Knochenbruch bei polytraumatisierten Kindern,Medicine,Springer Berlin Heidelberg,-1.897119984885881,,,,
43—THE INFLUENCE OF COTTON-SPINNING MACHINERY ON THE RANDOM IRREGULARITY OF SLIVERS AND YARNS PART I: THEORETICAL CONSIDERATIONS,Computer Science,Taylor & Francis Group,-1.897119984885881,,,,
"450088-S, a ring-opened prodrug of a 1,4-benzodiazepine, inhibited [3H]flunitrazepam labeling of rat cerebral cortex in vivo",Psychology,"Wiley Subscription Services, Inc., A Wiley Company",-1.897119984885881,-1.897119984885881,,,
47 kD ANTIGEN OF CANDIDA ALBICANS,Medicine,Elsevier,,-1.897119984885881,,,
"49-Gb/s, 7-tap transversal filter in 0.18 /spl mu/m SiGe BiCMOS for backplane equalization",Electronic engineering,IEEE,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
5-FLUOROURACIL : A PHARMACOLOGICAL PARADIGM IN THE USE OF CYTOTOXICS,Pharmacology,Blackwell Publishing Ltd,,,,,-1.2819343457956478
5-HT3-like receptors in the rat medial prefrontal cortex: an electrophysiological study,Psychology,Elsevier,,,,-1.897119984885881,
"5-Hydroxymethyl-3-(2H)-furanone, 5-(1,2-dihydroxyethyl)-3(2H)-furanone and 5-hydroxy-2H-pyran-3(6H)-one: reactive intermediates in the Maillard reaction of hexoses and pentoses",Maillard reaction,Springer,,,,-1.897119984885881,
5-Hydroxytryptamine: a chameleon in the heart.,Endocrinology,Elsevier,,,,-1.897119984885881,
54 P - A60-Elisa test in diagnosing of lung tumours,Medicine,Elsevier,,,,,-1.897119984885881
57Fe emission Mossbauer spectroscopy study of single crystal La2CuO4-y,Mössbauer spectroscopy,IOP Publishing,,,,-1.897119984885881,
5D space-time-mass gravity theory with off-diagonal components in the metric tensor,Classical mechanics,Kluwer,,,-1.897119984885881,,
5th annual meeting of lecturers in oral surgery,Medical education,Elsevier,,,,-1.897119984885881,
5‐HT2A and D2 receptor blockade increases cortical DA release via 5‐HT1A receptor activation: a possible mechanism of atypical antipsychotic‐induced cortical dopamine release,Psychology,Blackwell Science Ltd,,-1.2819343457956478,-0.9038682118755978,-0.9038682118755978,-0.9038682118755978
5因子モデル (FFM) による性格特性テストの併存的妥当性の検討,Psychology,公益社団法人 日本心理学会,,,,,-1.897119984885881
"6-Dehydrogingerdione, an active constituent of dietary ginger, induces cell cycle arrest and apoptosis through reactive oxygen species/c-Jun N-terminal kinase pathways in human breast cancer cells.",Biology,WILEY‐VCH Verlag,,,,,-1.2819343457956478
6-Thioguanine treatment in inflammatory bowel disease: a critical appraisal by a European 6-TG working party.,Clinical research,Karger Publishers,,,-1.5429481711652673,-1.5429481711652673,-1.5429481711652673
6. プラズマ・プロセスのアモルファス半導体への応用,Materials Science,社団法人 プラズマ・核融合学会,,,-1.897119984885881,,
680 nm CW operation at room temperature by AlGaAs double heterojunction lasers,Optoelectronics,IEEE,-1.897119984885881,-1.897119984885881,,,
6th Form Students' Perceptions of Pastoral Grouping,Social psychology,Taylor & Francis Group,,-1.897119984885881,-1.897119984885881,,
8. Early hydraulic cements,Materials Science,Smithsonian Institution Press,-1.897119984885881,-1.897119984885881,,,
99mTc-HL91 “Hot Spot” Detection of Ischemic Myocardium In Vivo by Gamma Camera Imaging,Medical imaging,Lippincott Williams & Wilkins,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A 'hydrodynamic' model of the negative-ion source,Chemistry,IOP Publishing,,,,-1.897119984885881,
A 'phase-shift' fusion system for the regulation of foreign gene expression by lambda repressor in gram-negative bacteria.,Galactokinase,Elsevier,,,-1.897119984885881,,
A 0.13 µm 8 Mb Logic-Based Cu $_{\rm x}$ Si $_{\rm y}$ O ReRAM With Self-Adaptive Operation for Yield Enhancement and Power Reduction,Electronic engineering,IEEE,,,,,-1.2819343457956478
A 0.35-/spl mu/m CMOS 2-GHz VCO in wafer-level package,Electronic engineering,IEEE,,,,-1.2819343457956478,-1.2819343457956478
A 0.5-V 1-/spl mu/W successive approximation ADC,Embedded system,IEEE,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A 1.5-/spl mu/m absolutely stabilized extended-cavity semiconductor laser,Absorption,IEEE,,,,-1.897119984885881,
A 10Be‐based reconstruction of the last deglaciation in southern Sweden,Geomorphology,Taylor & Francis,,,,,-1.2819343457956478
A 12-bit 10-MHz BiCMOS comparator,Embedded system,IEEE,,,,-1.897119984885881,
A 150W opamp,Resistor,IEEE,,-1.897119984885881,,,
"A 16-week randomized clinical trial of 2000 international units daily vitamin D3 supplementation in black youth: 25-hydroxyvitamin D, adiposity, and arterial stiffness.",Endocrinology,Endocrine Society,,,,-1.2819343457956478,-0.6667487067054143
A 1–18-Ghz attenuator calibrator,Resistor,IEEE,-1.897119984885881,,,,
A 2-D coupled BEM–FEM simulation of electro-elastostatics at large strain,Computer simulation,North-Holland,,,,,-1.2819343457956478
A 2-Gbit/s optical FSK heterodyne transmission experiment using a 1520-nm DFB laser transmitter,Single-mode optical fiber,IEEE,,-1.897119984885881,-1.897119984885881,,
A 2.9 kDa Fasciola hepatica-recombinant protein based ELISA test for the detection of current-ovine fasciolosis trickle infected,Biology,Elsevier,,,,-1.2819343457956478,-1.2819343457956478
A 230 ps Bipolar Masterslice Array with 2600 Gates,Embedded system,IEEE,-1.897119984885881,-1.897119984885881,,,
A 24-Bit Microprocessor for Data Communication Systems Designed on the Base of a General Cell Library,Embedded system,IEEE,-1.897119984885881,-1.897119984885881,,,
A 256 kb 65 nm 8T Subthreshold SRAM Employing Sense-Amplifier Redundancy,Embedded system,IEEE,,,,,-1.2819343457956478
A 2nd order numerical method for laminar flow at moderate to high Reynolds numbers: Entrance flow in a duct,Elliptic boundary value problem,"John Wiley & Sons, Ltd",-1.897119984885881,,,,
"A 3-year, prospective, randomized, controlled study on amino acid dialysate in patients on CAPD",Amino acid,Elsevier,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A 360ps 24b Josephson Carry-select Adder,Josephson effect,IEEE,,,,-1.897119984885881,
A 3D numerical diagnostic simulation for the general circulation in the Gulf of Lion (France),Fishery,Springer Berlin Heidelberg,,,-1.897119984885881,,
A 4*4 MQW modulator array in a parallel interconnect demonstration,Materials Science,IET,,,-1.897119984885881,,
A 4-Channel High-Precision Constant Current Control ASIC for Automotive Transmission Applications,Control engineering,IEEE,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A 45 BP INVERTED REPEAT IS REQUIRED FOR CELL CYCLE REGULATION OF THE ESCHERICHIA COLI NRD OPERON,Biology,Blackwell Science Ltd,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A 6 Bit Flash ADC Operating Up to 1 GHz and Nyquist Up to 500 MHz Sampling Rate,Chip,IEEE,,,-1.897119984885881,,
A 6.5 Gb/s backplane transmitter with 6-tap FIR equalizer and variable tap spacing,Electronic engineering,IEEE,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A 60 GHz Beam Waveguide Antenna System for Satellite Crosslinks,Beam waveguide antenna,IEEE,,,-1.897119984885881,,
A 60 yr record of atmospheric carbon monoxide reconstructed from Greenland firn air,Meteorology,Copernicus GmbH,,,,-1.2819343457956478,-1.2819343457956478
A 7 Gb/s/pin 1 Gbit GDDR5 SDRAM With 2.5 ns Bank to Bank Active Time and No Bank Group Restriction,Embedded system,IEEE,,,,-1.2819343457956478,-1.2819343457956478
A 71–76 GHz chip set for wireless communication in 65-nm CMOS technology,Electronic engineering,IEEE,,,,-1.2819343457956478,-1.2819343457956478
A 7‐year experience with low blood TSH cutoff levels for neonatal screening reveals an unsuspected frequency of congenital hypothyroidism (CH),Endocrinology,Blackwell Publishing Ltd,,,,,-1.2819343457956478
A BASIC ANALYSIS ON TIME CONSTRAINTS FOR BUSINESS TRIPS,Transport engineering,Japan Society of Civil Engineers,,,,-1.897119984885881,
A BIOGEOGRAPHIC GENETIC APPROACH FOR TESTING THE ROLE OF REINFORCEMENT: THE CASE OF DROSOPHILA PSEUDOOBSCURA AND D. PERSIMILIS,Allele,Blackwell Publishing Ltd,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
"A BRIEF DESCRIPTION OF THE CATSHARK, CHILOSCYLLWM GRISEUM MULLER AND HENLE, FROM INDIAN WATERS, WITH SOME BIOLOGICAL NOTES",Fishery,CMFRI/ICAR,,,-1.897119984885881,,
A BUSINESS VIEW OF THE RECYCLING OF PLASTICS FROM DURABLE GOODS,International trade,Society of Automotive Engineers,,,,,-1.897119984885881
"A Basic Study on Vertical-Type, Snow Blower Fences",Meteorology,Japan Society for Snow Engineering,,,,-1.897119984885881,
A Beginning Reading Strategy,Word recognition,SAGE Publications,,,-1.897119984885881,,
"A Bibliography of the Architecture, Arts, and Crafts of Islam by Sir K. A. C. Creswell, C.B.E., Second Supplement, January 1972 to December 1980 (with Omissions from Previous Years).",History,American University in Cairo Press,,-1.897119984885881,-1.897119984885881,,
A Brief History of Item Theory Response,Psychology,Blackwell Publishing Ltd,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A British cold war,Political Economy,Taylor & Francis Group,,,,-1.897119984885881,
A Brown representability theorem via coherent functors,Carlson's theorem,Pergamon,,,,-1.2819343457956478,-1.2819343457956478
A CASE OF GIANT ESOPHAGEAL LEIOMYOSARCOMA,Medicine,Japan Surgical Association,,,,-1.897119984885881,
A CASE OF TRAUMATIC CYST OF THE PANCREAS PRESENTING WITH RIGHT MASSIVE HEMORRHAGIC PLEURAL FLUID,Medicine,Japan Surgical Association,,,-1.897119984885881,,
A CHINESE VERSION OF THE MINI-MENTAL STATE EXAMINATION; IMPACT OF ILLITERACY IN A SHANGHAI DEMENTIA SURVEY,Functional illiteracy,Elsevier,,-1.2819343457956478,-1.2819343457956478,,
A CIA Reminiscence,Psychology,Taylor & Francis Group,-1.897119984885881,-1.897119984885881,,,
A CMOS adaptive delta modulation CODEC chip for PABX applications,Chip,IEEE,-1.897119984885881,-1.897119984885881,,,
A COMPARATIVE STUDY OF LEUKOCYTE COUNTS AND DISEASE RISK IN PRIMATES,Biology,Blackwell Publishing Ltd,,,-1.2819343457956478,-1.2819343457956478,-1.2819343457956478
A COMPLETE SAMPLE OF ULTRALUMINOUS X-RAY SOURCE HOST GALAXIES,Distribution,IOP Publishing,,,,-1.2819343457956478,-1.2819343457956478
A CONSIDERATION ON THE RELATION BETWEEN INPUT SEISMIC MOTION AND STATIC SEISMIC COEFFICIENT FOR THE EARTHQUAKE PROOF DESIGN OF CUTTING SLOPE ARROUND NUCLEAR POWER PLANT,Structural engineering,Japan Society of Civil Engineers,,-1.897119984885881,-1.897119984885881,,
A CROSS‐CULTURAL EXAMINATION OF PARENTS' AND TEACHERS' EXPECTATIONS FOR DEAF YOUTH REGARDING CAREERS,Social psychology,Blackwell Publishing Ltd,-1.897119984885881,-1.897119984885881,,,
A Case for Homogeneity of Personality at the Occupational Level,Psychology,Blackwell Publishing Ltd,,,,-1.2819343457956478,-1.2819343457956478
A Case of Histiocytosis X in the Scapula,Medicine,West-Japanese Society of Orthopedics & Traumatology,-1.897119984885881,,,,
A Case of Hypereosinophilic Syndrome with Necrotizing Vasculitis,Diabetes mellitus,The Japanese Respiratory Society,,-1.897119984885881,-1.897119984885881,,
A Case-Control Study of Running Injuries: Comparison of Patterns-of Runners With and Without Running Injuries.,Physical therapy,"JOSPT, Inc. JOSPT, 1033 North Fairfax Street, Suite 304, Alexandria, VA 22134-1540",,-1.897119984885881,-1.897119984885881,,
A Caustic Stress-Corrosion Cracking Evaluation of Thermally Treated Inconel Alloy 600 Steam Generator Tubing,Materials Science,ASTM International,-1.897119984885881,-1.897119984885881,,,
A Century of Solar Ca II Measurements and Their Implication for Solar UV Driving of Climate,Meteorology,Springer Netherlands,,,,-1.2819343457956478,-1.2819343457956478
"A Cheap Metal for a ""Noble"" Task: Preparative and Mechanistic Aspects of Cycloisomerization and Cycloaddition Reactions Catalyzed by Low-Valent Iron Complexes",Stereochemistry,American Chemical Society,,,,-1.7646308018398023,-1.7646308018398023
A Chern number for gauge fields on R4,BRST quantization,American Institute of Physics,-1.897119984885881,-1.897119984885881,,,
"A Chicken WNT Gene, WNT-11, Is Involved in Dermal Development",Biology,Biochem Biophys Res Commun,-1.2819343457956478,-1.2819343457956478,-0.9522417961598136,-0.9522417961598136,
